"","data.sa3_name","drive_time.origin","data.state","drive_time.time_mins","data.mean"
"254","Onkaparinga","Onkaparinga, SA, Australia","SA",42.85,48744.7438
"255","Charles Sturt","Charles Sturt, SA, Australia","SA",20.82,53620.1109
"256","Port Adelaide - West","Port Adelaide SA 5015, Australia","SA",28.95,50915.1693
"257","West Torrens","West Torrens, SA, Australia","SA",13.68,52374.7665
"258","Barossa","Barossa Valley, Tanunda SA 5352, Australia","SA",66.12,50783.4931
"259","Lower North","South Australia, Australia","SA",695.55,49332.8231
"260","Mid North","85 Ellen St, Port Pirie SA 5540, Australia","SA",158.8,51511.0599
"261","Yorke Peninsula","Yorke Peninsula, SA, Australia","SA",138.97,48722.4258
"262","Eyre Peninsula and South West","Eyre Peninsula, Cummins SA 5631, Australia","SA",412.35,57603.8739
"263","Outback - North and East","4/34 Mileham St, Windsor NSW 2756, Australia","SA",861.29,59879.194
"264","Fleurieu - Kangaroo Island","Kangaroo Island, South Australia, Australia","SA",233.6,42137.4999
"265","Limestone Coast","Limestone Coast, SA, Australia","SA",236.25,47998.2067
"266","Murray and Mallee","Mallee St & Murray St, Tailem Bend SA 5260, Australia","SA",70.27,42665.3206
"267","Augusta - Margaret River - Busselton","17 Foreshore Parade, Busselton WA 6280, Australia","WA",150.23,50949.7622
"268","Bunbury","Bunbury WA 6230, Australia","WA",115.63,62106.5304
"269","Manjimup","Manjimup WA 6258, Australia","WA",199.32,47922.3255
"270","Mandurah","Mandurah WA, Australia","WA",53.75,59953.9593
"271","Cottesloe - Claremont","Claremont WA 6010, Australia","WA",18.05,122925.3122
"272","Perth City","Perth, WA, Australia","WA",2.27,81149.3639
"273","Bayswater - Bassendean","Bassendean WA 6054, Australia","WA",19.2,60158.169
"274","Mundaring","Mundaring WA 6073, Australia","WA",42.03,62291.7698
"275","Swan","Swan, WA, Australia","WA",63.5,59211.8858
"276","Joondalup","Joondalup WA 6027, Australia","WA",23.95,66362.573
"277","Stirling","Stirling WA 6021, Australia","WA",12.45,66691.7635
"278","Wanneroo","Wanneroo WA 6065, Australia","WA",29.23,58447.4943
"279","Armadale","Armadale WA 6112, Australia","WA",38.98,58299.0796
"280","Belmont - Victoria Park","Victoria Park WA 6100, Australia","WA",14.67,61901.2048
"281","Canning","Canning, WA, Australia","WA",24.6,59306.7373
"282","Gosnells","Gosnells WA 6110, Australia","WA",33.27,55882.0402
"283","Kalamunda","Kalamunda WA 6076, Australia","WA",33.22,63772.5691
"284","Serpentine - Jarrahdale","Serpentine-Jarrahdale, WA, Australia","WA",50.02,62993.6709
"285","South Perth","South Perth WA 6151, Australia","WA",13.9,79429.762
"286","Cockburn","Cockburn, WA, Australia","WA",NA,62941.2236
"287","Fremantle","Fremantle WA 6160, Australia","WA",32.3,74308.8969
"288","Kwinana","Kwinana, WA, Australia","WA",32.87,58061.3929
"289","Melville","Melville WA 6156, Australia","WA",22.85,74841.1812
"290","Rockingham","Rockingham WA 6168, Australia","WA",43.6,62552.8904
"291","Albany","Albany WA 6330, Australia","WA",275.77,47131.1524
"292","Wheat Belt - North","L1/298 Fitzgerald Street, Northam WA 6401, Australia","WA",81.67,52204.0338
"293","Wheat Belt - South","Wheat St, Casino NSW 2470, Australia","WA",2705.07,47464.8065
"294","Kimberley","Kimberley, WA, Australia","WA",2259.35,60148.1259
"295","East Pilbara","East Pilbara, WA, Australia","WA",NA,88516.5357
"296","West Pilbara","Pilbara, WA, Australia","WA",NA,92812.7507
"297","Esperance","Esperance WA 6450, Australia","WA",447.88,55809.5067
"298","Gascoyne","Gascoyne, WA, Australia","WA",896.69,55338.5969
"299","Goldfields","5/50 Colin St, West Perth WA 6005, Australia","WA",7.48,72876.0813
